Tweet_count,Username,Text,Created At,Retweets,Likes,Hashtags,Image URL,Category
717,Mairie du 15,"Merci à la @Fond_Nestle_Fr et à la @mapavx pour l’atelier nutrition « Chef 15 » organisé ce samedi au bénéfice d’habitants du QPV Falguière pour apprendre à cuisiner des plats équilibrés, délicieux et à coût modeste, dans une ambiance conviviale https://t.co/DKE6xLDs3X",Sun Jan 26 10:19:18 +0000 2025,2,8,,https://pbs.twimg.com/media/GiNkm00XAAAXNa8.jpg,healthy
718,Télénantes,"🔴 TEMPÊTE HERMINIA : LE TRAFIC #SNCF PERTURBÉ

Une rupture d’alimentation électrique entraîne la déviation des TGV Nantes-Paris vers Rennes, prévoir un retard d’une heure sur le temps de parcours.
A noter également qu’aucun TER ne circule dans le sens #Nantes vers Angers. https://t.co/ux2t9nelQh",Sun Jan 26 14:21:33 +0000 2025,3,7,"SNCF, Nantes",https://pbs.twimg.com/media/GiOcC4EXQAAwJlB.jpg,mix
719,NARCISSE NTUMBA,"🚨URGENT: la sénatrice Anne Mbunguje vient à la rescousse de de Marius,19 ans, gravement brûlé après avoir gagné un gain aux paris sportifs. Informée de la dégradation de son état, @anne_mbuguje a décidé de prendre en charge l'intégralité des Frais médicaux et son alimentation https://t.co/kUd1I5VcXc",Sat Jan 25 20:07:11 +0000 2025,8,9,,https://pbs.twimg.com/media/GiKhkdSWAAATX1O.jpg,healthy
720,Chemin de charité,"🔴 Spiritualité Bouddha Jésus-Christ Alimentation Jeûne Sport Santé Bien-Être ⬇️
https://t.co/kmM5ANj6Ik",Sun Jan 26 16:32:41 +0000 2025,2,5,,N/A,healthy
721,Insee Guadeloupe - Martinique - Guyane,"En #Guadeloupe, les #prix à la consommation augmentent en décembre 2024. Les prix des services augmentent (+0,3 %), tandis que ceux de l’alimentation, des produits manufacturés et de l’#énergie sont stables. Sur un an, les prix sont en hausse de 1,8 %. 👉 https://t.co/H3UsgAg0rU https://t.co/HV0Hcv70G2",Fri Jan 24 16:00:01 +0000 2025,2,5,"Guadeloupe, prix, énergie",https://pbs.twimg.com/media/Gh_8hi6XkAAuqFK.jpg,mix
722,A Prendre Sans Faim,"Une #idéederecette #originale aux #légumesdesaison et #fruits :
"" #coleslaw #fruité ""
#photo #aprendresansfaim (c)
#recette ici :
https://t.co/E3fRDc7L9J
#newpost #nouvellerecette #recettedujour #cuisine #faitmaison #food #recipes #homemade #santé #healthy #choux #recetterapide https://t.co/0qG5fm3LM5",Sat Jan 25 08:05:00 +0000 2025,2,7,"idéederecette, originale, légumesdesaison, fruits, coleslaw, fruité, photo, aprendresansfaim, recette, newpost, nouvellerecette, recettedujour, cuisine, faitmaison, food, recipes, homemade, santé, healthy, choux, recetterapide",https://pbs.twimg.com/media/GhBP6zzWUAERhON.jpg,healthy
723,Gauche Républicaine & Socialiste #FrontPopulaire,"🔴Après le cyclone🌪, l'enjeu alimentaire🥭🍠 est évidemment plus que vital à #Mayotte🌴
👉 https://t.co/K1kerV83e2
C'est pourtant un sujet qui a été négligé dans le projet de loi d'urgence pour la reconstruction de l'archipel. 1/2 #alimentation #urgence #viechère #outremer https://t.co/56d9Oo21Kp",Fri Jan 24 14:56:09 +0000 2025,9,11,"Mayotte, alimentation, urgence, viechère, outremer",https://pbs.twimg.com/media/GiEQTaGXMAAtSo0.jpg,mix
724,Gauche Républicaine & Socialiste #FrontPopulaire,"Si le sujet des prix de l'alimentation en #OutreMer commence péniblement à faire son chemin avec la PPL socialiste, il faudra une véritable implication gouvernementale pour apporter des solutions structurelles &amp; durables. 2/2
#viechère #pouvoirdachat #alimentation #urgence
#chido",Fri Jan 24 14:57:32 +0000 2025,8,10,"OutreMer, viechère, pouvoirdachat, alimentation, urgence, chido",N/A,mix
725,Lili Adresan🌺,"On paye l'essence hors de prix pour nous déplacer, le coût de l'alimentation a explosé, idem pour les produits d'entretien. Quand je fais mes courses je sens mes jambes se dérober tellement j'ai l'impression de regarder autour de moi et de ne pas faire partie de cette société qui",Sat Jan 25 10:28:25 +0000 2025,800,4909,,N/A,mix
726,CocoChanel,"J'ai la chance de vivre à - de 1h de l'Italie.
Dès que vous passez la frontière, la différence est saisissante.
- de péage, alimentation moins chère, les gens aiment leur religion 
 et le montrent partout 🫶
- d'insécurité, les gens sont + souriants et insouciants
C'est frappant",Sat Jan 25 09:13:51 +0000 2025,2,4,,N/A,mix
727,Kabylie4NIF,"Le Maroc attend encore son indépendance en 2025 , pauvre d’eux. La populas marocaine n’a accès ni a l’eau, ni à l’alimentation, ni aux soins , ni à l’enseignement. Juste bon à être les serviteurs des colons occidentaux et des alaouites https://t.co/DbOkLQ1UIo",Sat Jan 25 17:34:50 +0000 2025,96,372,,N/A,mix
